company_id,sic_code,regional_folder,quality_flag,n_pages,company_text_length,hash_algorithm,sha256_document_hash,text_shared_in_repository,crawl_date
RMCT_COMP_0100,24450,Primary_Metal_Production,usable,1,2236,SHA-256,c4a13bfc54edffbe08d15ad76f889e7891270fc2a13aba5fde43652d441c46d2,False,not_publicly_released_in_current_extract
RMCT_COMP_0101,24450,Primary_Metal_Production,usable_rich,1,5185,SHA-256,9ddf140cd12d8f6205a4f904161fd2f2edba21c1d0fa41cfdc82e4b2a72c6aae,False,not_publicly_released_in_current_extract
RMCT_COMP_0102,24450,Primary_Metal_Production,usable_rich,1,4773,SHA-256,6c749e4ef86c8fb5e0f85c20c62519e16e9b7b02c50e3533365d0cad91e5b72d,False,not_publicly_released_in_current_extract
RMCT_COMP_0103,24450,Primary_Metal_Production,short_but_usable,1,411,SHA-256,f4685b95396f39ae28e0b0c5b9d9f3c1421bc0da30430d8363df4024c10200d8,False,not_publicly_released_in_current_extract
RMCT_COMP_0104,24450,Primary_Metal_Production,usable_rich,1,3920,SHA-256,3f385dfb26f2ea331c4b779c670450f3f9ce48d20bda2d3404be447bcbf467c9,False,not_publicly_released_in_current_extract
RMCT_COMP_0105,24450,Primary_Metal_Production,usable_rich,1,16165,SHA-256,ee1820581eb086fecf5f0e1066a1e57b3bdd84b1f3329b382f2b002c488ff515,False,not_publicly_released_in_current_extract
RMCT_COMP_0106,24450,Primary_Metal_Production,usable_rich,1,4388,SHA-256,b45bfc60c0e2cf649dbeda280ced63e2aa834d0b97dc8c9c47df4bf68f7f757c,False,not_publicly_released_in_current_extract
RMCT_COMP_0107,24450,Primary_Metal_Production,usable_rich,1,3573,SHA-256,134b4a8c80b9ab6f79e48b9efa72f8dfbae0a3e9a7089ed456f708c5688acb99,False,not_publicly_released_in_current_extract
RMCT_COMP_0108,24450,Primary_Metal_Production,usable,1,1298,SHA-256,33568ad1072312bdeda9b5933d47d4cc44b601064d1448b729051716620e8a26,False,not_publicly_released_in_current_extract
RMCT_COMP_0109,24450,Primary_Metal_Production,usable_rich,1,3565,SHA-256,11f3a50132b6c8504c66c46bcf8f811718b5b7808f616834424cd8979ae80530,False,not_publicly_released_in_current_extract
RMCT_COMP_0110,24510,Casting___Foundry,usable_rich,1,9116,SHA-256,e2e57af01d553457d0692bb0c2ba2ae4b9a501e510caebf42bf71ad1606b2447,False,not_publicly_released_in_current_extract
RMCT_COMP_0111,24510,Casting___Foundry,usable_rich,1,10433,SHA-256,3f2463d6d6a1f600efd5b3495bc3225f9c1d9baaf745178410388f91d43f3014,False,not_publicly_released_in_current_extract
RMCT_COMP_0112,24510,Casting___Foundry,usable,1,1282,SHA-256,21944b0fc80c7a950afd2386d6983b73bca17ee12c1dceffd3b9693de9c86135,False,not_publicly_released_in_current_extract
RMCT_COMP_0113,24510,Casting___Foundry,usable,1,2272,SHA-256,a7ddda64bc564e15790c99cc96e8a193a9d0bda1abf3da63fc0fe9b9f944a5a0,False,not_publicly_released_in_current_extract
RMCT_COMP_0114,24510,Casting___Foundry,usable_rich,1,8150,SHA-256,e076019b086f1c8193b351d8d2047eb8a0fe799ea89b71a973473855b650aa79,False,not_publicly_released_in_current_extract
RMCT_COMP_0115,24510,Casting___Foundry,usable_rich,1,6270,SHA-256,88a715a5ab9659a298cc3a84c0f1e252695e33bedfba7ff7d4c7476ffa09ae08,False,not_publicly_released_in_current_extract
RMCT_COMP_0116,24510,Casting___Foundry,usable_rich,1,3740,SHA-256,d53edaaa25829427c8ecb9dd52921989478f4ee301cf6909fd8763a55370d900,False,not_publicly_released_in_current_extract
RMCT_COMP_0117,24510,Casting___Foundry,usable_rich,1,3702,SHA-256,565774cc51f68db3310d7b4381ce65afcad9358e4cf0052f3e2f1610a0c1950a,False,not_publicly_released_in_current_extract
RMCT_COMP_0118,24510,Casting___Foundry,usable_rich,1,3700,SHA-256,b87371fe9e911afbf685512af00f79abc3a1084a0c6b38607ace35b541422f10,False,not_publicly_released_in_current_extract
RMCT_COMP_0119,24510,Casting___Foundry,usable,1,2226,SHA-256,0789edc019b6228e27e847af60cdcde075d77a9ad45f3e8bb93196aece5ae8a1,False,not_publicly_released_in_current_extract
RMCT_COMP_0120,24520,Casting___Foundry,usable,1,1761,SHA-256,d1390362ffb58b28e2f0cbe10a370ff7740366caa1e9c75cc29b73a539386433,False,not_publicly_released_in_current_extract
RMCT_COMP_0121,24520,Casting___Foundry,usable_rich,1,15605,SHA-256,8b0f206c1bde9335a908ac161f99eab2f3bd186986cfaf4248d56804199d76e3,False,not_publicly_released_in_current_extract
RMCT_COMP_0122,24520,Casting___Foundry,usable_rich,1,3932,SHA-256,a7e6d57114ceb21bf34db5cd03e5443a92d62ea9311b8ac372191f8c79eaf864,False,not_publicly_released_in_current_extract
RMCT_COMP_0123,24520,Casting___Foundry,usable,1,2731,SHA-256,85314a4bea2ab0c9bb3c014d5e1d5a80405ed025f78907cd52139fb2d46af3f7,False,not_publicly_released_in_current_extract
RMCT_COMP_0124,24530,Casting___Foundry,usable_rich,1,11258,SHA-256,ad7f6d05dfe6005a64cfeb65aa8d9c3c8a310df647410faec13225416cf3cd71,False,not_publicly_released_in_current_extract
RMCT_COMP_0125,24530,Casting___Foundry,short_but_usable,1,856,SHA-256,4d517e75c92b45bbd902d0bbfcd3c9da3f30ad881a368a3df8c43124255aa7ff,False,not_publicly_released_in_current_extract
