company_id,company_name_public,sic_code,regional_folder,website_available,website_text_status,quality_flag,n_pages,company_text_length,crawl_date
RMCT_COMP_0099,Ingospec Aluminium Limited,24450,Primary_Metal_Production,True,SUCCESS,usable,1,2476,not_publicly_released_in_current_extract
RMCT_COMP_0100,Jonic Engineering Limited,24450,Primary_Metal_Production,True,SUCCESS,usable,1,2236,not_publicly_released_in_current_extract
RMCT_COMP_0101,Longwear Alloys Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,5185,not_publicly_released_in_current_extract
RMCT_COMP_0102,M S Metals Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4773,not_publicly_released_in_current_extract
RMCT_COMP_0103,Marflow Engineering Limited,24450,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,411,not_publicly_released_in_current_extract
RMCT_COMP_0104,Newby Foundries Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3920,not_publicly_released_in_current_extract
RMCT_COMP_0105,Powermet Ltd,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,16165,not_publicly_released_in_current_extract
RMCT_COMP_0106,Precision Electro Plating Company Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4388,not_publicly_released_in_current_extract
RMCT_COMP_0107,Scg Engineering Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3573,not_publicly_released_in_current_extract
RMCT_COMP_0108,Space Seal Midlands Limited,24450,Primary_Metal_Production,True,SUCCESS,usable,1,1298,not_publicly_released_in_current_extract
RMCT_COMP_0109,Surface Technik Tamworth Limited,24450,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3565,not_publicly_released_in_current_extract
RMCT_COMP_0110,Atritor Limited,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,9116,not_publicly_released_in_current_extract
RMCT_COMP_0111,Boro Foundry Limitedthe,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,10433,not_publicly_released_in_current_extract
RMCT_COMP_0112,Brockmoor Foundry Company Limitedthe,24510,Casting___Foundry,True,SUCCESS,usable,1,1282,not_publicly_released_in_current_extract
RMCT_COMP_0113,Ft Ductile Limited,24510,Casting___Foundry,True,SUCCESS,usable,1,2272,not_publicly_released_in_current_extract
RMCT_COMP_0114,Grainger Worrall Limited,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,8150,not_publicly_released_in_current_extract
RMCT_COMP_0115,Joseph And Jesse Siddons Limited,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,6270,not_publicly_released_in_current_extract
RMCT_COMP_0116,Mpf Plating Ltd,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,3740,not_publicly_released_in_current_extract
RMCT_COMP_0117,Thomas Dudley Foundry Limited,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,3702,not_publicly_released_in_current_extract
RMCT_COMP_0118,Thomas Dudley Group Limited,24510,Casting___Foundry,True,SUCCESS,usable_rich,1,3700,not_publicly_released_in_current_extract
RMCT_COMP_0119,Vanguard Foundry Limited,24510,Casting___Foundry,True,SUCCESS,usable,1,2226,not_publicly_released_in_current_extract
RMCT_COMP_0120,Mas Specialist Fabricators Ltd,24520,Casting___Foundry,True,SUCCESS,usable,1,1761,not_publicly_released_in_current_extract
RMCT_COMP_0121,Micron Alloy Castings Limited,24520,Casting___Foundry,True,SUCCESS,usable_rich,1,15605,not_publicly_released_in_current_extract
RMCT_COMP_0122,Newby Foundries Investment Casting Limited,24520,Casting___Foundry,True,SUCCESS,usable_rich,1,3932,not_publicly_released_in_current_extract
RMCT_COMP_0123,Rj Pipeline Supplies Ltd,24520,Casting___Foundry,True,SUCCESS,usable,1,2731,not_publicly_released_in_current_extract
RMCT_COMP_0124,Aluminium Products Limited,24530,Casting___Foundry,True,SUCCESS,usable_rich,1,11258,not_publicly_released_in_current_extract
RMCT_COMP_0125,Aluminium Service Company Warwick Limited,24530,Casting___Foundry,True,PARTIAL,short_but_usable,1,856,not_publicly_released_in_current_extract
RMCT_COMP_0126,Eutectic Alloy Castings Wolverhampton Limited,24530,Casting___Foundry,True,SUCCESS,usable,1,2156,not_publicly_released_in_current_extract
RMCT_COMP_0127,Evtec Aluminium Limited,24530,Casting___Foundry,True,SUCCESS,usable,1,2267,not_publicly_released_in_current_extract
RMCT_COMP_0128,Mcdonald Diecasting Limited,24530,Casting___Foundry,True,SUCCESS,usable_rich,1,4831,not_publicly_released_in_current_extract
RMCT_COMP_0129,3J Services Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,25705,not_publicly_released_in_current_extract
RMCT_COMP_0130,A M Edm Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,4527,not_publicly_released_in_current_extract
RMCT_COMP_0131,Able Engineering Products Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,1197,not_publicly_released_in_current_extract
RMCT_COMP_0132,Accessafe Uk Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,1769,not_publicly_released_in_current_extract
RMCT_COMP_0133,Adcam Fabrications Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,2648,not_publicly_released_in_current_extract
RMCT_COMP_0134,Addfield Projects Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,14888,not_publicly_released_in_current_extract
RMCT_COMP_0135,Albion Sections Group Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,5980,not_publicly_released_in_current_extract
RMCT_COMP_0136,Albion Sections Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,5974,not_publicly_released_in_current_extract
RMCT_COMP_0137,Aldridge Fabrications Af Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,14071,not_publicly_released_in_current_extract
RMCT_COMP_0138,All Metal Fabrication Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,1309,not_publicly_released_in_current_extract
RMCT_COMP_0139,All Traffic Products Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,1410,not_publicly_released_in_current_extract
RMCT_COMP_0140,Apl Formwork Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,5167,not_publicly_released_in_current_extract
RMCT_COMP_0141,Archibald Kenrick Sons Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,8606,not_publicly_released_in_current_extract
RMCT_COMP_0142,Arl Design And Welding Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,16181,not_publicly_released_in_current_extract
RMCT_COMP_0143,Armagard Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,7192,not_publicly_released_in_current_extract
RMCT_COMP_0144,B C Barton International Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,10976,not_publicly_released_in_current_extract
RMCT_COMP_0145,Birmingham Fabrications Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,3086,not_publicly_released_in_current_extract
